,Sex,Race,CompositeGrades,StandardizedTestQuartile,TimeSpentOnHomeworkInSchool,TimeSpentOnHomeworkOutOfSchool,TimeSpentOnExtracurriculars,ParentsHighestLevelEducation,Socio-economicStatusQuartile,Tutored,FathersWishes,MothersWishes,GradesUndergrad
281,Male,White,2.5,1,3,0,0,3,2,-9,98,98,0
282,Female,White,3.0,1,2,1,1,2,1,-3,4,4,0
283,Female,White,2.5,3,2,4,0,3,4,-9,5,5,0
284,Male,White,2.8,4,1,4,2,4,4,-9,5,5,0
285,Male,White,3.0,2,1,0,3,3,3,-9,5,5,0
286,Male,White,3.3,4,2,2,1,3,3,-9,7,5,0
287,Male,White,3.0,2,0,4,2,3,3,-9,5,5,1
288,Female,Black,1.8,1,1,2,2,3,3,-9,5,5,1
289,Female,White,4.0,4,2,2,2,2,1,-9,7,7,1
290,Male,White,3.5,4,5,7,4,3,3,-9,5,5,1
291,Female,White,3.8,4,1,1,4,3,3,-9,6,6,1
292,Male,White,2.3,9,96,5,1,6,4,-9,5,5,0
293,Female,White,3.8,4,7,4,2,5,4,-9,5,5,0
294,Male,Black,4.0,3,2,2,0,98,2,-3,5,5,0
295,Female,White,2.8,2,96,96,1,3,2,-9,4,4,0
296,Male,White,2.8,3,1,0,0,3,2,-9,3,5,1
297,Male,White,2.5,3,1,3,2,6,4,-3,5,5,0
298,Male,White,3.0,3,2,4,0,3,2,-9,5,5,1
299,Female,White,3.3,3,2,3,1,4,3,-9,5,5,1
300,Male,White,3.0,3,2,5,0,4,4,-9,5,5,1
301,Female,White,9.9,4,1,2,0,99,8,-9,99,99,1
302,Female,White,4.0,4,4,5,3,2,2,-9,5,5,1
303,Male,White,1.8,3,6,4,3,5,4,-9,5,5,1
304,Female,White,3.8,4,1,2,1,4,3,-9,5,5,1
305,Female,White,3.5,9,99,99,99,1,8,-3,5,5,0
306,Female,White,3.8,4,2,3,1,3,3,-9,5,5,1
307,Female,White,4.0,4,1,2,4,6,4,-9,6,6,0
308,Female,White,2.8,9,1,1,0,3,3,-9,5,5,0
309,Female,White,1.8,1,2,3,4,2,2,-9,4,6,0
310,Male,White,3.0,2,2,1,2,3,2,-9,5,5,0
311,Male,White,3.5,2,5,1,1,2,1,-9,2,2,0
312,Female,Black,4.0,3,1,2,2,4,2,-9,6,6,1
313,Male,White,4.0,4,5,2,4,3,3,-9,6,5,1
314,Female,White,2.5,1,0,3,0,4,4,-9,6,6,1
315,Male,White,3.8,2,1,3,2,2,2,-9,5,5,0
316,Male,White,3.3,3,1,2,4,3,3,-9,7,7,0
317,Male,Black,3.8,3,2,3,4,3,1,-9,7,7,1
318,Female,White,2.8,4,2,2,1,3,3,-9,7,4,1
319,Male,White,3.0,2,1,1,0,5,4,-9,6,6,0
320,Male,White,3.8,2,3,3,1,3,2,-9,4,4,0
321,Male,White,1.8,1,2,96,0,1,1,-9,1,1,0
322,Female,White,3.5,3,1,2,1,3,3,-9,5,5,1
323,Female,White,4.0,4,1,1,0,4,4,-9,4,4,1
324,Male,White,3.5,2,1,1,1,3,2,-9,5,5,0
325,Male,Black,9.9,1,0,2,98,99,8,-9,99,99,0
326,Female,White,4.0,4,2,6,1,6,4,-9,6,6,1
327,Male,White,3.5,4,4,4,2,5,4,-9,5,2,0
328,Female,White,4.0,4,1,5,5,3,1,-9,6,6,1
329,Male,White,4.0,9,99,99,99,6,8,-9,7,7,1
330,Female,Black,9.8,3,6,6,4,5,4,-9,6,6,1
331,Male,White,2.5,3,2,6,3,4,4,-9,5,5,0
332,Male,White,2.5,4,2,2,3,4,3,-9,5,6,0
